year,city,country,avg_temp
1809,Berlin,Germany,8.66
1810,Berlin,Germany,8.46
1811,Berlin,Germany,9.93
1812,Berlin,Germany,7.35
1813,Berlin,Germany,8.66
1814,Berlin,Germany,7.46
1815,Berlin,Germany,8.38
1816,Berlin,Germany,7.75
1817,Berlin,Germany,8.92
1818,Berlin,Germany,9.00
1819,Berlin,Germany,9.43
1820,Berlin,Germany,7.86
1821,Berlin,Germany,9.15
1822,Berlin,Germany,10.05
1823,Berlin,Germany,8.26
1824,Berlin,Germany,9.61
1825,Berlin,Germany,9.32
1826,Berlin,Germany,9.35
1827,Berlin,Germany,8.99
1828,Berlin,Germany,8.94
1829,Berlin,Germany,6.52
1830,Berlin,Germany,8.08
1831,Berlin,Germany,8.93
1832,Berlin,Germany,8.34
1833,Berlin,Germany,8.89
1834,Berlin,Germany,10.40
1835,Berlin,Germany,8.81
1836,Berlin,Germany,8.88
1837,Berlin,Germany,8.12
1838,Berlin,Germany,6.98
1839,Berlin,Germany,8.63
1840,Berlin,Germany,7.74
1841,Berlin,Germany,9.06
1842,Berlin,Germany,8.51
1843,Berlin,Germany,9.18
1844,Berlin,Germany,7.85
1845,Berlin,Germany,7.92
1846,Berlin,Germany,9.84
1847,Berlin,Germany,8.24
1848,Berlin,Germany,8.75
1849,Berlin,Germany,8.03
1850,Berlin,Germany,8.20
1851,Berlin,Germany,8.50
1852,Berlin,Germany,9.54
1853,Berlin,Germany,7.55
1854,Berlin,Germany,8.69
1855,Berlin,Germany,7.07
1856,Berlin,Germany,8.50
1857,Berlin,Germany,9.39
1858,Berlin,Germany,7.97
1859,Berlin,Germany,9.60
1860,Berlin,Germany,8.00
1861,Berlin,Germany,8.87
1862,Berlin,Germany,8.91
1863,Berlin,Germany,9.81
1864,Berlin,Germany,6.99
1865,Berlin,Germany,8.88
1866,Berlin,Germany,9.44
1867,Berlin,Germany,8.41
1868,Berlin,Germany,10.24
1869,Berlin,Germany,9.06
1870,Berlin,Germany,7.57
1871,Berlin,Germany,7.08
1872,Berlin,Germany,9.97
1873,Berlin,Germany,9.27
1874,Berlin,Germany,9.08
1875,Berlin,Germany,8.04
1876,Berlin,Germany,8.64
1877,Berlin,Germany,8.95
1878,Berlin,Germany,9.38
1879,Berlin,Germany,7.46
1880,Berlin,Germany,9.08
1881,Berlin,Germany,7.75
1882,Berlin,Germany,9.28
1883,Berlin,Germany,8.54
1884,Berlin,Germany,9.20
1885,Berlin,Germany,8.47
1886,Berlin,Germany,8.55
1887,Berlin,Germany,7.93
1888,Berlin,Germany,7.61
1889,Berlin,Germany,8.34
1890,Berlin,Germany,8.35
1891,Berlin,Germany,8.48
1892,Berlin,Germany,8.28
1893,Berlin,Germany,8.50
1894,Berlin,Germany,8.96
1895,Berlin,Germany,8.28
1896,Berlin,Germany,8.57
1897,Berlin,Germany,8.69
1898,Berlin,Germany,9.42
1899,Berlin,Germany,8.96
1900,Berlin,Germany,9.16
1901,Berlin,Germany,8.58
1902,Berlin,Germany,7.63
1903,Berlin,Germany,9.28
1904,Berlin,Germany,9.15
1905,Berlin,Germany,8.90
1906,Berlin,Germany,9.31
1907,Berlin,Germany,8.52
1908,Berlin,Germany,8.35
1909,Berlin,Germany,8.16
1910,Berlin,Germany,9.33
1911,Berlin,Germany,9.89
1912,Berlin,Germany,8.49
1913,Berlin,Germany,9.41
1914,Berlin,Germany,9.50
1915,Berlin,Germany,8.56
1916,Berlin,Germany,9.30
1917,Berlin,Germany,8.39
1918,Berlin,Germany,9.42
1919,Berlin,Germany,8.00
1920,Berlin,Germany,9.37
1921,Berlin,Germany,9.78
1922,Berlin,Germany,7.76
1923,Berlin,Germany,8.58
1924,Berlin,Germany,8.30
1925,Berlin,Germany,9.32
1926,Berlin,Germany,9.57
1927,Berlin,Germany,8.72
1928,Berlin,Germany,8.92
1929,Berlin,Germany,7.99
1930,Berlin,Germany,9.48
1931,Berlin,Germany,8.35
1932,Berlin,Germany,9.23
1933,Berlin,Germany,8.32
1934,Berlin,Germany,10.69
1935,Berlin,Germany,9.34
1936,Berlin,Germany,9.30
1937,Berlin,Germany,9.41
1938,Berlin,Germany,9.77
1939,Berlin,Germany,9.32
1940,Berlin,Germany,7.04
1941,Berlin,Germany,7.62
1942,Berlin,Germany,7.80
1943,Berlin,Germany,9.67
1944,Berlin,Germany,9.31
1945,Berlin,Germany,9.64
1946,Berlin,Germany,9.12
1947,Berlin,Germany,8.79
1948,Berlin,Germany,9.96
1949,Berlin,Germany,10.04
1950,Berlin,Germany,9.37
1951,Berlin,Germany,9.72
1952,Berlin,Germany,8.61
1953,Berlin,Germany,10.13
1954,Berlin,Germany,8.41
1955,Berlin,Germany,8.36
1956,Berlin,Germany,7.57
1957,Berlin,Germany,9.46
1958,Berlin,Germany,9.05
1959,Berlin,Germany,9.88
1960,Berlin,Germany,9.22
1961,Berlin,Germany,9.81
1962,Berlin,Germany,8.13
1963,Berlin,Germany,8.12
1964,Berlin,Germany,8.84
1965,Berlin,Germany,8.33
1966,Berlin,Germany,9.34
1967,Berlin,Germany,10.08
1968,Berlin,Germany,9.28
1969,Berlin,Germany,8.43
1970,Berlin,Germany,8.43
1971,Berlin,Germany,9.54
1972,Berlin,Germany,8.88
1973,Berlin,Germany,9.24
1974,Berlin,Germany,9.89
1975,Berlin,Germany,10.08
1976,Berlin,Germany,9.15
1977,Berlin,Germany,9.54
1978,Berlin,Germany,8.86
1979,Berlin,Germany,8.53
1980,Berlin,Germany,8.26
1981,Berlin,Germany,9.18
1982,Berlin,Germany,10.08
1983,Berlin,Germany,10.21
1984,Berlin,Germany,8.94
1985,Berlin,Germany,8.46
1986,Berlin,Germany,8.78
1987,Berlin,Germany,8.09
1988,Berlin,Germany,10.02
1989,Berlin,Germany,10.72
1990,Berlin,Germany,10.71
1991,Berlin,Germany,9.36
1992,Berlin,Germany,10.38
1993,Berlin,Germany,9.34
1994,Berlin,Germany,10.43
1995,Berlin,Germany,9.75
1996,Berlin,Germany,7.88
1997,Berlin,Germany,9.73
1998,Berlin,Germany,10.05
1999,Berlin,Germany,10.58
2000,Berlin,Germany,10.96
2001,Berlin,Germany,9.69
2002,Berlin,Germany,10.26
2003,Berlin,Germany,10.07
2004,Berlin,Germany,9.82
2005,Berlin,Germany,9.92
2006,Berlin,Germany,10.55
2007,Berlin,Germany,10.88
2008,Berlin,Germany,10.66
2009,Berlin,Germany,10.06
2010,Berlin,Germany,8.61
2011,Berlin,Germany,10.56
2012,Berlin,Germany,9.96
2013,Berlin,Germany,10.12
